epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,23.6323,0.74701,0.37096,0.92344,0.99954,1,0.995,0.64294,1.21338,0.45694,1.04984,0.0015743,0.0015743,0.0015743
45,24.0953,0.74434,0.38351,0.92727,0.99941,1,0.995,0.5062,1.73021,0.59525,1.30295,0.0015644,0.0015644,0.0015644
46,24.5655,0.76834,0.38483,0.94192,0.98731,0.97235,0.99175,0.65855,1.13699,0.60421,1.00751,0.0015545,0.0015545,0.0015545
47,25.0307,0.73949,0.36826,0.92643,0.99668,0.99583,0.995,0.74508,0.94369,0.41414,0.93273,0.0015446,0.0015446,0.0015446
48,25.4944,0.74565,0.3744,0.92688,0.99973,1,0.995,0.79375,0.79412,0.32,0.889,0.0015347,0.0015347,0.0015347
49,25.9499,0.72933,0.37849,0.92001,0.99975,1,0.995,0.77323,0.80844,0.3616,0.91115,0.0015248,0.0015248,0.0015248
50,26.4188,0.7641,0.38242,0.93626,0.9994,1,0.995,0.55871,1.48064,0.4819,1.21997,0.0015149,0.0015149,0.0015149
51,26.8738,0.7198,0.3688,0.91872,0.99973,1,0.995,0.77576,0.79481,0.33794,0.89079,0.001505,0.001505,0.001505
52,27.3451,0.74275,0.37345,0.91911,0.99974,1,0.995,0.7792,0.79213,0.33707,0.88834,0.0014951,0.0014951,0.0014951
53,27.7965,0.76506,0.37242,0.94026,0.99973,1,0.995,0.77639,0.78654,0.33611,0.88619,0.0014852,0.0014852,0.0014852
54,28.2642,0.7529,0.36396,0.93977,0.99954,1,0.995,0.78182,0.79134,0.31793,0.89096,0.0014753,0.0014753,0.0014753
55,28.7224,0.7249,0.36232,0.92868,0.99951,1,0.995,0.78177,0.79114,0.33701,0.90354,0.0014654,0.0014654,0.0014654
56,29.1976,0.71721,0.35232,0.91278,0.99945,1,0.995,0.78206,0.78732,0.33094,0.89992,0.0014555,0.0014555,0.0014555
57,29.6536,0.70972,0.35095,0.91088,0.99944,1,0.995,0.78504,0.77187,0.33443,0.88449,0.0014456,0.0014456,0.0014456
58,30.1205,0.74276,0.36303,0.93627,0.99964,1,0.995,0.78147,0.82541,0.34821,0.88947,0.0014357,0.0014357,0.0014357
59,30.5716,0.71917,0.35775,0.92476,0.99972,1,0.995,0.79047,0.77772,0.31016,0.88429,0.0014258,0.0014258,0.0014258
60,31.0324,0.7072,0.34658,0.90601,0.99974,1,0.995,0.77051,0.84873,0.32137,0.9163,0.0014159,0.0014159,0.0014159
61,31.4842,0.702,0.35138,0.91595,0.99975,1,0.995,0.78378,0.79637,0.30527,0.90391,0.001406,0.001406,0.001406
62,31.9471,0.70607,0.34224,0.91968,0.99975,1,0.995,0.7858,0.7867,0.31896,0.89966,0.0013961,0.0013961,0.0013961
63,32.3981,0.71837,0.34671,0.91331,0.99974,1,0.995,0.77546,0.82702,0.33862,0.9172,0.0013862,0.0013862,0.0013862
64,32.8521,0.71009,0.35119,0.90937,0.99974,1,0.995,0.77717,0.82166,0.31655,0.91196,0.0013763,0.0013763,0.0013763
65,33.3032,0.70949,0.34713,0.91537,0.99974,1,0.995,0.7955,0.78911,0.32476,0.90402,0.0013664,0.0013664,0.0013664
66,33.7591,0.71945,0.35031,0.91678,0.99974,1,0.995,0.78579,0.83727,0.32927,0.9183,0.0013565,0.0013565,0.0013565
67,34.2127,0.70286,0.33716,0.90465,0.99975,1,0.995,0.79559,0.78609,0.30991,0.90406,0.0013466,0.0013466,0.0013466
68,34.6855,0.70064,0.33542,0.92185,0.99976,1,0.995,0.78977,0.78956,0.30254,0.90828,0.0013367,0.0013367,0.0013367
69,35.145,0.70281,0.33074,0.91192,0.99974,1,0.995,0.78485,0.78815,0.30223,0.89948,0.0013268,0.0013268,0.0013268
70,35.608,0.70888,0.33667,0.90705,0.99976,1,0.995,0.76391,0.83603,0.31477,0.9262,0.0013169,0.0013169,0.0013169
71,36.0625,0.68667,0.33372,0.90884,0.99976,1,0.995,0.79049,0.7798,0.31183,0.89833,0.001307,0.001307,0.001307
72,36.5217,0.71654,0.33476,0.91831,0.99975,1,0.995,0.80653,0.78029,0.31057,0.88188,0.0012971,0.0012971,0.0012971
73,36.9813,0.68562,0.32427,0.89925,0.99974,1,0.995,0.79469,0.82744,0.33588,0.89874,0.0012872,0.0012872,0.0012872
74,37.447,0.70861,0.34369,0.92154,0.99973,1,0.995,0.77599,0.82036,0.32634,0.89944,0.0012773,0.0012773,0.0012773
75,37.9051,0.70722,0.335,0.91412,0.99974,1,0.995,0.79505,0.74831,0.30418,0.87632,0.0012674,0.0012674,0.0012674
76,38.3614,0.69841,0.33132,0.91733,0.99974,1,0.995,0.7621,0.8328,0.31499,0.91941,0.0012575,0.0012575,0.0012575
77,38.8089,0.68651,0.31839,0.90035,0.99973,1,0.995,0.75625,0.8583,0.32483,0.92447,0.0012476,0.0012476,0.0012476
78,39.2691,0.68028,0.31998,0.91165,0.99974,1,0.995,0.78152,0.79671,0.31128,0.9024,0.0012377,0.0012377,0.0012377
79,39.722,0.67565,0.31663,0.90611,0.9997,1,0.995,0.76463,0.85822,0.33689,0.92727,0.0012278,0.0012278,0.0012278
80,40.1795,0.70275,0.33258,0.9133,0.99969,1,0.995,0.67458,1.0373,0.3658,1.02688,0.0012179,0.0012179,0.0012179
81,40.6339,0.70829,0.3314,0.9176,0.99973,1,0.995,0.7969,0.77965,0.30172,0.90173,0.001208,0.001208,0.001208
82,41.0933,0.68744,0.32321,0.90573,0.99973,1,0.995,0.79937,0.79555,0.31507,0.90782,0.0011981,0.0011981,0.0011981
83,41.5423,0.70275,0.32527,0.91251,0.99973,1,0.995,0.79999,0.82995,0.32055,0.91874,0.0011882,0.0011882,0.0011882
84,41.9989,0.69288,0.32306,0.91323,0.99974,1,0.995,0.78919,0.80303,0.31195,0.9111,0.0011783,0.0011783,0.0011783
85,42.4535,0.68635,0.32361,0.91406,0.99975,1,0.995,0.75384,0.88549,0.32771,0.94456,0.0011684,0.0011684,0.0011684
86,42.9099,0.66947,0.31521,0.89954,0.99974,1,0.995,0.80497,0.76277,0.29747,0.8796,0.0011585,0.0011585,0.0011585
87,43.3603,0.66037,0.30993,0.89734,0.99973,1,0.995,0.81313,0.74617,0.2869,0.87736,0.0011486,0.0011486,0.0011486
88,43.8291,0.66316,0.31031,0.9004,0.99973,1,0.995,0.80132,0.78662,0.28822,0.88337,0.0011387,0.0011387,0.0011387
89,44.2834,0.67466,0.31463,0.89395,0.99974,1,0.995,0.79945,0.80339,0.30106,0.89717,0.0011288,0.0011288,0.0011288
90,44.7424,0.69117,0.32127,0.91568,0.99973,1,0.995,0.75496,0.99867,0.34104,0.97225,0.0011189,0.0011189,0.0011189
91,45.1944,0.66977,0.31259,0.89809,0.99969,1,0.995,0.79337,0.84845,0.32306,0.90541,0.001109,0.001109,0.001109
92,45.6664,0.66116,0.31235,0.89354,0.99972,1,0.995,0.78185,0.87589,0.30439,0.91202,0.0010991,0.0010991,0.0010991
93,46.1249,0.67781,0.31663,0.90574,0.99975,1,0.995,0.79803,0.83756,0.30747,0.89736,0.0010892,0.0010892,0.0010892
94,46.5981,0.65868,0.30879,0.89274,0.99975,1,0.995,0.79966,0.80225,0.29196,0.89935,0.0010793,0.0010793,0.0010793
95,47.0592,0.67658,0.31083,0.89953,0.99974,1,0.995,0.7998,0.78091,0.30043,0.88418,0.0010694,0.0010694,0.0010694
96,47.5221,0.68697,0.32249,0.90364,0.99974,1,0.995,0.8109,0.77811,0.30094,0.88528,0.0010595,0.0010595,0.0010595
97,47.9722,0.67284,0.30994,0.89783,0.99975,1,0.995,0.8074,0.77179,0.30118,0.88172,0.0010496,0.0010496,0.0010496
98,48.4474,0.66486,0.31281,0.90351,0.99975,1,0.995,0.80982,0.75282,0.27775,0.87892,0.0010397,0.0010397,0.0010397
99,48.9109,0.64936,0.30249,0.89116,0.99975,1,0.995,0.81278,0.76599,0.29083,0.88247,0.0010298,0.0010298,0.0010298
100,49.3673,0.66081,0.30622,0.8972,0.99974,1,0.995,0.80133,0.7634,0.2939,0.88284,0.0010199,0.0010199,0.0010199
101,49.8224,0.64148,0.2993,0.89147,0.99973,1,0.995,0.81386,0.74691,0.28321,0.87238,0.00101,0.00101,0.00101
102,50.2865,0.65514,0.3017,0.89336,0.99974,1,0.995,0.78601,0.84336,0.29301,0.90676,0.0010001,0.0010001,0.0010001
103,50.7368,0.69529,0.31258,0.90489,0.99965,1,0.995,0.70848,1.03776,0.34175,0.99504,0.0009902,0.0009902,0.0009902
104,51.2144,0.67109,0.3059,0.90568,0.99973,1,0.995,0.6452,1.22201,0.39372,1.1146,0.0009803,0.0009803,0.0009803
105,51.6708,0.64773,0.29903,0.89703,0.99973,1,0.995,0.69893,1.09064,0.36246,1.05908,0.0009704,0.0009704,0.0009704
106,52.1292,0.64576,0.30282,0.89052,0.99975,1,0.995,0.79539,0.83487,0.31147,0.92524,0.0009605,0.0009605,0.0009605
107,52.5816,0.65714,0.30376,0.88925,0.99976,1,0.995,0.806,0.79785,0.30316,0.90561,0.0009506,0.0009506,0.0009506
108,53.0408,0.66161,0.29664,0.91748,0.99976,1,0.995,0.81206,0.78278,0.29029,0.89081,0.0009407,0.0009407,0.0009407
109,53.4955,0.65496,0.30423,0.8989,0.99975,1,0.995,0.82364,0.7578,0.2731,0.87415,0.0009308,0.0009308,0.0009308
110,53.9632,0.63435,0.29204,0.8842,0.99975,1,0.995,0.80891,0.78577,0.29025,0.89418,0.0009209,0.0009209,0.0009209
111,54.4269,0.65538,0.29553,0.89773,0.99975,1,0.995,0.8196,0.76217,0.27292,0.87994,0.000911,0.000911,0.000911
112,54.8958,0.64237,0.29648,0.89477,0.99976,1,0.995,0.81065,0.77362,0.27458,0.88602,0.0009011,0.0009011,0.0009011
113,55.3493,0.62433,0.28934,0.87826,0.99976,1,0.995,0.8156,0.77085,0.26925,0.88324,0.0008912,0.0008912,0.0008912
114,55.8115,0.63222,0.2904,0.8907,0.99975,1,0.995,0.81185,0.79135,0.28664,0.8886,0.0008813,0.0008813,0.0008813
115,56.27,0.63159,0.29425,0.89237,0.99975,1,0.995,0.81655,0.78318,0.28917,0.88679,0.0008714,0.0008714,0.0008714
116,56.729,0.64406,0.29394,0.89967,0.99975,1,0.995,0.82454,0.75162,0.26997,0.8781,0.0008615,0.0008615,0.0008615
117,57.1905,0.62888,0.29193,0.89079,0.99976,1,0.995,0.79796,0.77432,0.27705,0.89208,0.0008516,0.0008516,0.0008516
118,57.6539,0.62591,0.28612,0.89475,0.99974,1,0.995,0.80464,0.75628,0.27463,0.87723,0.0008417,0.0008417,0.0008417
