epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.26118,5.40343,4.82198,4.26072,0,0,0,0,2.37453,3.98739,1.55352,0,0,0
2,2.42846,4.80224,4.53489,3.78816,0,0,0,0,2.41022,4.00134,1.57976,1.9802e-05,1.9802e-05,1.9802e-05
3,2.58407,4.83049,4.74656,3.94855,0,0,0,0,2.48056,4.00429,1.62026,3.9208e-05,3.9208e-05,3.9208e-05
4,2.73182,5.41762,4.34455,4.20682,0,0,0,0,2.55216,4.02148,1.66685,5.8218e-05,5.8218e-05,5.8218e-05
5,2.90915,5.31726,4.53784,4.2149,0,0,0,0,2.59842,4.03815,1.71529,7.6832e-05,7.6832e-05,7.6832e-05
6,3.04457,4.91232,4.56035,3.98673,0,0,0,0,2.62487,4.0615,1.75847,9.505e-05,9.505e-05,9.505e-05
7,3.17881,4.94905,4.54556,3.63797,0,0,0,0,2.65224,4.07188,1.78228,0.000112872,0.000112872,0.000112872
8,3.34391,5.27342,4.69248,3.79984,0,0,0,0,2.69466,4.08091,1.81891,0.000130298,0.000130298,0.000130298
9,3.50311,5.14054,4.662,4.27611,0,0,0,0,1.77458,3.79938,1.23651,0.000147328,0.000147328,0.000147328
10,3.72853,2.21736,3.81107,1.36813,0.00111,0.05556,0.0006,0.00012,1.84845,3.72184,1.14832,0.000163962,0.000163962,0.000163962
11,3.92164,2.01718,3.63141,1.09569,0.00944,0.47222,0.00757,0.00265,1.78105,3.65462,1.10569,0.0001802,0.0001802,0.0001802
12,4.09663,2.01192,3.1713,1.13156,0.015,0.75,0.02153,0.00874,1.50361,3.57728,1.02311,0.000196042,0.000196042,0.000196042
13,4.28751,1.75849,2.59249,1.00341,0.01389,0.69444,0.0233,0.00755,1.27573,3.55071,0.9724,0.000211488,0.000211488,0.000211488
14,4.43851,1.69378,1.81079,1.02388,0.01111,0.55556,0.01609,0.00529,1.14682,3.47299,0.94504,0.000226538,0.000226538,0.000226538
15,4.59664,1.50381,1.8629,1.00596,0.00944,0.47222,0.01244,0.00401,1.11569,3.44113,0.93544,0.000241192,0.000241192,0.000241192
16,4.7619,1.39774,1.77179,0.97502,0.00667,0.33333,0.00722,0.00183,1.1323,3.43804,0.9379,0.00025545,0.00025545,0.00025545
17,4.9147,1.40758,1.59362,0.97464,0.00556,0.27778,0.00522,0.00109,1.1455,3.4574,0.94371,0.000269312,0.000269312,0.000269312
18,5.09338,1.47776,1.27989,0.92047,0.00556,0.27778,0.00553,0.00117,1.1102,3.46664,0.93845,0.000282778,0.000282778,0.000282778
19,5.23359,1.29901,1.39201,0.97464,0.00444,0.22222,0.00405,0.00132,0.99828,3.45266,0.91584,0.000295848,0.000295848,0.000295848
20,5.3837,1.21861,1.28257,0.91779,0.00556,0.27778,0.00478,0.00181,0.91811,3.4189,0.89267,0.000308522,0.000308522,0.000308522
21,5.56806,1.19452,1.26198,0.89479,0.00444,0.22222,0.00394,0.00269,0.88116,3.37495,0.87722,0.0003208,0.0003208,0.0003208
22,5.72072,1.11258,1.06245,0.89682,0.005,0.25,0.0044,0.00307,0.8869,3.32831,0.87625,0.000332682,0.000332682,0.000332682
23,5.87583,1.06001,0.99093,0.88624,0.00444,0.22222,0.00408,0.00261,0.97006,3.27549,0.89673,0.000344168,0.000344168,0.000344168
24,6.15058,1.07832,0.95602,0.85215,0.005,0.25,0.00414,0.00244,1.08946,3.25039,0.92628,0.000355258,0.000355258,0.000355258
25,6.29892,1.06886,1.07075,0.90164,0.005,0.25,0.0045,0.00269,1.06523,3.24071,0.91821,0.000365952,0.000365952,0.000365952
26,6.45133,1.11999,0.95351,0.84903,0.00833,0.41667,0.00845,0.00436,0.88477,3.22318,0.8756,0.00037625,0.00037625,0.00037625
27,6.60538,0.99904,1.00949,0.87093,0.01222,0.61111,0.01891,0.00913,0.84697,3.22107,0.8662,0.000386152,0.000386152,0.000386152
28,6.74764,1.05195,0.91616,0.87118,0.01222,0.61111,0.01798,0.00762,0.9595,3.2387,0.88675,0.000395658,0.000395658,0.000395658
29,6.89706,0.9254,0.85843,0.89805,0.01778,0.88889,0.03077,0.0156,0.85676,3.21528,0.86437,0.000404768,0.000404768,0.000404768
30,7.06533,0.92849,0.87927,0.86281,0.02,1,0.04148,0.02457,0.92572,3.18508,0.87598,0.000413482,0.000413482,0.000413482
