epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.50953,4.33245,5.7318,2.9016,0,0,0,0,4.75788,4.88506,3.87117,0,0,0
2,2.7675,4.36426,5.65095,3.13411,0,0,0,0,4.76818,4.86981,3.88178,1.9802e-05,1.9802e-05,1.9802e-05
3,3.0752,4.18938,5.7341,3.10949,0,0,0,0,4.77739,4.86428,3.89028,3.9208e-05,3.9208e-05,3.9208e-05
4,3.36798,4.57605,5.38358,3.13974,0,0,0,0,4.7934,4.85441,3.90708,5.8218e-05,5.8218e-05,5.8218e-05
5,3.64673,4.33253,5.67162,2.97708,0,0,0,0,4.78161,4.83889,3.89596,7.6832e-05,7.6832e-05,7.6832e-05
6,3.92749,4.04278,5.43704,2.78785,0,0,0,0,4.7761,4.82409,3.88522,9.505e-05,9.505e-05,9.505e-05
7,4.20022,4.55015,5.64692,3.0239,0,0,0,0,4.76361,4.79779,3.88573,0.000112872,0.000112872,0.000112872
8,4.47204,4.15133,5.57267,2.4606,0,0,0,0,4.7568,4.78107,3.88154,0.000130298,0.000130298,0.000130298
9,4.76531,4.09297,5.7761,2.69637,0,0,0,0,4.74683,4.75962,3.86825,0.000147328,0.000147328,0.000147328
10,5.07378,3.7802,5.53499,2.72817,0.10732,0.13889,0.07682,0.02131,2.5421,3.10906,1.34898,0.000163962,0.000163962,0.000163962
11,5.52164,2.65682,2.76007,1.22353,0.88429,0.97222,0.97322,0.44042,1.55755,1.73965,1.03867,0.0001802,0.0001802,0.0001802
12,5.97797,1.79174,10.092,1.13136,0.84408,0.97222,0.9587,0.44917,1.53676,1.75052,1.03286,0.000196042,0.000196042,0.000196042
13,6.44124,1.62904,10.2451,0.99754,0.15092,0.52778,0.17708,0.11074,1.18436,2.13395,0.93932,0.000211488,0.000211488,0.000211488
14,6.83732,1.62031,2.43723,1.01798,0.98587,1,0.995,0.71117,1.01044,1.00741,0.89123,0.000226538,0.000226538,0.000226538
15,7.36797,1.34192,1.87865,0.93763,0.6373,0.78101,0.68095,0.36052,1.0906,1.79666,0.93143,0.000241192,0.000241192,0.000241192
16,7.7473,1.28344,1.93367,0.94438,0.94683,0.98956,0.98103,0.77432,0.7606,0.94849,0.8658,0.00025545,0.00025545,0.00025545
17,8.21293,1.1987,1.09778,0.94134,0.97105,1,0.99365,0.84143,0.68159,0.93024,0.84913,0.000269312,0.000269312,0.000269312
18,8.67971,1.11497,1.2226,0.87229,0.97136,1,0.99203,0.78692,0.79914,1.30013,0.86466,0.000282778,0.000282778,0.000282778
19,9.06228,1.33767,0.96304,0.98728,0.99802,1,0.995,0.81979,0.71871,1.7859,0.84597,0.000295848,0.000295848,0.000295848
20,9.4524,0.93744,1.11676,0.86459,0.99829,1,0.995,0.74616,0.96946,1.55623,0.88274,0.000308522,0.000308522,0.000308522
21,9.84244,1.28111,0.82215,0.88537,0.99809,1,0.995,0.76146,0.87347,1.44539,0.86175,0.0003208,0.0003208,0.0003208
22,10.2289,0.83449,0.63387,0.83219,0.99722,1,0.995,0.81179,0.72328,1.65722,0.83837,0.000332682,0.000332682,0.000332682
23,10.6136,0.85675,0.60822,0.8423,0.99783,1,0.995,0.78442,0.78103,1.3704,0.84686,0.000344168,0.000344168,0.000344168
24,11.0005,0.96155,0.63486,0.81994,0.98971,1,0.995,0.76841,0.84981,1.79428,0.85724,0.000355258,0.000355258,0.000355258
25,11.3828,0.7394,0.62217,0.85115,0.96994,1,0.99446,0.74535,0.87591,2.99396,0.85914,0.000365952,0.000365952,0.000365952
26,11.8363,0.86018,0.73015,0.80092,0.98912,1,0.995,0.76268,0.87169,1.98939,0.85717,0.00037625,0.00037625,0.00037625
27,12.2296,0.82277,0.64338,0.83214,0.84467,1,0.90614,0.74402,0.7287,1.50131,0.83415,0.000386152,0.000386152,0.000386152
28,12.6102,0.8248,0.5108,0.84065,0.41046,0.94444,0.42958,0.3408,0.78639,3.63296,0.84648,0.000395658,0.000395658,0.000395658
29,12.9864,0.76545,0.48818,0.87191,0.1473,1,0.14741,0.1135,0.82033,15.3016,0.85276,0.000404768,0.000404768,0.000404768
30,13.3744,0.80838,0.52371,0.85064,0.04484,1,0.04631,0.03814,0.73247,72.6219,0.83435,0.000413482,0.000413482,0.000413482
31,13.7585,0.77112,0.45552,0.86595,0.05375,1,0.057,0.04548,0.75587,49.978,0.84441,0.0004218,0.0004218,0.0004218
32,14.1364,0.78509,0.48073,0.80637,0.8638,1,0.99446,0.7726,0.85059,1.15397,0.87446,0.000429722,0.000429722,0.000429722
33,14.5263,0.78495,0.42425,0.85814,0.96889,1,0.995,0.78595,0.79837,0.81639,0.85413,0.000437248,0.000437248,0.000437248
34,14.9043,0.72758,0.54115,0.8243,0.99372,1,0.995,0.79824,0.77727,0.88014,0.84605,0.000444378,0.000444378,0.000444378
35,15.3582,0.81804,0.55306,0.80493,0.99699,1,0.995,0.79674,0.75304,0.87074,0.84732,0.000451112,0.000451112,0.000451112
36,15.7283,0.80296,0.51313,0.80972,0.98699,1,0.995,0.79956,0.74468,0.94384,0.84414,0.00045745,0.00045745,0.00045745
37,16.1026,0.78037,0.4675,0.81049,0.99257,1,0.995,0.7917,0.79446,1.09911,0.85124,0.000463392,0.000463392,0.000463392
38,16.4773,0.69859,0.41558,0.81672,0.99619,1,0.995,0.75993,0.83862,1.09708,0.85968,0.000468938,0.000468938,0.000468938
39,16.8586,0.73011,0.43633,0.81653,0.99795,1,0.995,0.7959,0.84771,0.92458,0.85913,0.000474088,0.000474088,0.000474088
40,17.2306,0.75649,0.4371,0.81192,0.9982,1,0.995,0.79887,0.76843,0.59977,0.8411,0.000478842,0.000478842,0.000478842
41,17.6185,0.80965,0.45504,0.84169,0.9985,1,0.995,0.81447,0.74182,0.57859,0.83805,0.0004832,0.0004832,0.0004832
42,18.0014,0.70059,0.3849,0.8267,0.9978,1,0.995,0.74341,0.90717,0.73262,0.88207,0.000487162,0.000487162,0.000487162
43,18.3782,0.70675,0.47246,0.84079,0.99773,1,0.995,0.72944,0.99458,0.57634,0.91934,0.000490728,0.000490728,0.000490728
44,18.7579,0.78131,0.44601,0.84358,0.9983,1,0.995,0.78869,0.80421,0.4814,0.85982,0.000493898,0.000493898,0.000493898
45,19.1304,0.67423,0.45838,0.78946,0.99796,1,0.995,0.82611,0.71895,0.54576,0.83953,0.000496672,0.000496672,0.000496672
46,19.592,0.70429,0.4374,0.84054,0.99846,1,0.995,0.81803,0.73592,0.53578,0.8387,0.00049905,0.00049905,0.00049905
47,19.9761,0.7539,0.46142,0.85473,0.99862,1,0.995,0.80469,0.79058,0.507,0.84807,0.000501032,0.000501032,0.000501032
48,20.3565,0.72977,0.41817,0.82136,0.99975,1,0.995,0.7866,0.86161,0.50123,0.86294,0.000502618,0.000502618,0.000502618
49,20.7324,0.67213,0.39871,0.8047,0.99945,0.97222,0.97681,0.75976,0.84763,0.50875,0.86393,0.000503808,0.000503808,0.000503808
50,21.1044,0.73043,0.38184,0.81094,0.99847,0.91667,0.92247,0.73168,0.84022,0.54481,0.86998,0.000504602,0.000504602,0.000504602
51,21.4828,0.66703,0.37395,0.8354,0.99847,0.91667,0.92247,0.73168,0.84022,0.54481,0.86998,0.000505,0.000505,0.000505
52,21.8636,0.70047,0.39059,0.80774,0.84941,0.86111,0.86354,0.69137,0.8732,0.61968,0.88405,0.000505002,0.000505002,0.000505002
