epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.39353,1.79395,4.44366,2.02942,0.00333,1,0.01883,0.00479,1.52121,4.32326,2.01654,2e-05,2e-05,2e-05
2,7.08001,1.59058,4.59684,1.65928,0.00333,1,0.01852,0.00478,1.47538,4.3463,1.95718,5.9703e-05,5.9703e-05,5.9703e-05
3,7.696,1.50988,4.31637,1.65812,0.00333,1,0.01671,0.00491,1.48981,4.34734,1.94822,9.901e-05,9.901e-05,9.901e-05
4,8.26075,1.58763,4.16812,1.66136,0.00333,1,0.01489,0.00433,1.52842,4.35833,1.99404,0.000137921,0.000137921,0.000137921
5,8.95899,1.42237,4.02906,1.51435,0.12172,0.11111,0.09047,0.05988,1.10409,2.19461,1.84841,0.000176436,0.000176436,0.000176436
6,9.97691,1.23086,2.38533,1.63932,0,0,0,0,2.17585,5.69897,3.30356,0.000214555,0.000214555,0.000214555
7,10.8848,1.17299,3.48497,1.79282,0.86361,1,0.995,0.74817,0.64612,6.64206,1.33386,0.000252278,0.000252278,0.000252278
8,11.8401,0.84478,2.29937,1.36748,0.07038,0.55556,0.07033,0.05219,0.75595,10.4194,1.31906,0.000289605,0.000289605,0.000289605
9,12.747,0.88138,1.46128,1.20232,1,1,0.995,0.87353,0.53801,16.1291,1.21484,0.000326536,0.000326536,0.000326536
10,13.7752,0.65138,1.39142,1.12004,0.82695,1,0.984,0.79885,0.86665,4.74208,1.45198,0.000363071,0.000363071,0.000363071
11,14.6668,1.09091,1.57895,1.28132,0.01189,0.22222,0.00777,0.00148,2.97163,163.477,3.20614,0.00039921,0.00039921,0.00039921
12,15.6532,0.94399,1.74877,1.57326,1,0.11111,0.51931,0.25637,2.08068,330.342,2.97929,0.000434953,0.000434953,0.000434953
13,17.1431,0.78764,1.13316,1.18344,0.01871,0.88889,0.03667,0.0288,0.70805,inf,1.37712,0.0004703,0.0004703,0.0004703
14,18.6176,0.74834,0.86951,1.19507,0.01516,1,0.16411,0.14862,0.63661,inf,1.30624,0.000505251,0.000505251,0.000505251
15,19.5968,0.88374,0.93111,1.29453,0.00245,0.44444,0.00245,0.00199,1.3144,inf,1.92648,0.000539806,0.000539806,0.000539806
