epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.01942,2.26567,4.00516,2.18637,0.18284,0.07917,0.03499,0.00712,1.31383,3.55451,1.17843,8e-05,8e-05,8e-05
2,5.41938,1.95675,3.5149,1.96708,0.89219,1,0.90362,0.6378,0.85398,6.26397,0.91524,0.000179109,0.000179109,0.000179109
3,6.99742,0.96856,0.89868,1.01119,0.9912,1,0.995,0.7213,0.95677,0.70333,0.9739,0.000277228,0.000277228,0.000277228
4,8.57472,0.87595,0.5702,0.96701,0.96684,1,0.995,0.71451,0.95617,0.72688,0.98946,0.000374357,0.000374357,0.000374357
5,10.0832,0.84225,0.50723,0.96227,1,1,0.995,0.78299,0.78966,1.49904,0.92197,0.000470496,0.000470496,0.000470496
6,11.6843,0.87466,0.44141,0.94446,0.15092,0.6125,0.13252,0.0963,0.89899,11.0237,0.98961,0.000565645,0.000565645,0.000565645
7,14.1225,0.83424,0.41924,0.94389,0.83444,0.20417,0.28834,0.19376,1.75438,2.29001,1.37817,0.000659804,0.000659804,0.000659804
8,15.9836,0.81198,0.42184,0.93712,0.11815,0.02083,0.00927,0.00683,4.5076,4.49541,3.97877,0.000752973,0.000752973,0.000752973
9,17.5778,0.81313,0.42297,0.94306,0.77667,0.22083,0.24526,0.16551,2.5916,2.63906,2.45282,0.000845152,0.000845152,0.000845152
10,19.1563,0.8128,0.40848,0.95468,0.92411,1,0.995,0.756,0.90222,2.74927,1.01774,0.000936341,0.000936341,0.000936341
11,20.6458,0.7919,0.41234,0.93792,0.99666,1,0.995,0.76007,0.90189,1.79355,0.98543,0.00102654,0.00102654,0.00102654
12,22.181,0.78419,0.39083,0.92716,0.98393,0.99167,0.99467,0.73943,0.8799,1.44712,0.99896,0.00111575,0.00111575,0.00111575
13,23.6614,0.78418,0.38575,0.92169,0.94904,0.64167,0.78156,0.53013,1.20299,1.01677,1.1002,0.00120397,0.00120397,0.00120397
14,25.2103,0.78551,0.39688,0.93435,0.35983,0.68333,0.28184,0.21206,1.04387,1.68936,1.02492,0.0012912,0.0012912,0.0012912
15,26.7051,0.77645,0.39425,0.93649,0.42294,0.96667,0.56717,0.43532,0.8346,1.08442,0.9322,0.00137744,0.00137744,0.00137744
16,28.2292,0.83509,0.40423,0.93686,0.99573,0.9719,0.9937,0.7717,0.81818,0.54502,0.92163,0.00146269,0.00146269,0.00146269
17,29.6961,0.79008,0.38672,0.94098,0.99535,0.89222,0.98254,0.75814,0.82675,0.59404,0.92357,0.00154694,0.00154694,0.00154694
18,31.2217,0.80229,0.38649,0.93918,0.22767,0.87083,0.22881,0.16588,0.89174,3.13998,0.95787,0.00163021,0.00163021,0.00163021
19,32.6964,0.84011,0.40913,0.94928,0.99731,1,0.995,0.78191,0.85141,0.62681,0.94858,0.00171249,0.00171249,0.00171249
20,34.2348,0.82373,0.40828,0.94009,0.99773,1,0.995,0.742,0.81932,0.67362,0.93681,0.00179378,0.00179378,0.00179378
