epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.195,5.40343,4.82198,4.26072,0,0,0,0,2.37453,3.98739,1.55352,0,0,0
2,2.29827,4.80224,4.53489,3.78816,0,0,0,0,2.41022,4.00134,1.57976,1.9604e-05,1.9604e-05,1.9604e-05
3,2.43376,4.83049,4.74656,3.94855,0,0,0,0,2.48056,4.00429,1.62026,3.8416e-05,3.8416e-05,3.8416e-05
4,2.56485,5.41762,4.34455,4.20682,0,0,0,0,2.55216,4.02148,1.66685,5.6436e-05,5.6436e-05,5.6436e-05
5,2.68682,5.31726,4.53784,4.2149,0,0,0,0,2.59842,4.03815,1.71529,7.3664e-05,7.3664e-05,7.3664e-05
6,2.85946,4.91232,4.56035,3.98673,0,0,0,0,2.62487,4.0615,1.75847,9.01e-05,9.01e-05,9.01e-05
7,3.07104,4.94905,4.54556,3.63797,0,0,0,0,2.65224,4.07188,1.78228,0.000105744,0.000105744,0.000105744
8,3.19923,5.27342,4.69248,3.79984,0,0,0,0,2.69466,4.08091,1.81891,0.000120596,0.000120596,0.000120596
9,3.35519,5.14054,4.662,4.27611,0,0,0,0,1.8024,3.81325,1.24861,0.000134656,0.000134656,0.000134656
10,3.56565,2.27236,3.84516,1.41438,0,0,0,0,1.81417,3.75586,1.15014,0.000147924,0.000147924,0.000147924
11,3.73735,2.0449,3.67344,1.11785,0.00667,0.33333,0.00509,0.00143,1.81363,3.67961,1.12051,0.0001604,0.0001604,0.0001604
12,3.91754,2.03715,3.28004,1.14406,0.01444,0.72222,0.02048,0.00848,1.54034,3.59111,1.03171,0.000172084,0.000172084,0.000172084
13,4.09838,1.78853,2.80839,1.01403,0.01556,0.77778,0.02715,0.01166,1.34263,3.53683,0.97893,0.000182976,0.000182976,0.000182976
14,4.25945,1.67359,2.10619,1.01895,0.01667,0.83333,0.03136,0.01218,1.20549,3.50712,0.95191,0.000193076,0.000193076,0.000193076
15,4.43833,1.49689,1.76641,1.0009,0.01833,0.91667,0.0373,0.01348,1.14559,3.44453,0.93317,0.000202384,0.000202384,0.000202384
16,4.60212,1.4,1.61106,0.97204,0.01833,0.91667,0.03623,0.01189,1.12255,3.42164,0.92998,0.0002109,0.0002109,0.0002109
17,4.74514,1.41917,1.65218,0.9731,0.01778,0.88889,0.03519,0.01146,1.12125,3.41867,0.92979,0.000218624,0.000218624,0.000218624
18,4.93826,1.49904,1.3857,0.92168,0.01889,0.94444,0.0395,0.01266,1.11069,3.42631,0.93011,0.000225556,0.000225556,0.000225556
19,5.10075,1.40224,1.54901,0.98529,0.01944,0.97222,0.04127,0.01466,1.05847,3.42897,0.92373,0.000231696,0.000231696,0.000231696
20,5.27745,1.29456,1.33869,0.9294,0.02,1,0.04277,0.0176,0.99884,3.40954,0.9045,0.000237044,0.000237044,0.000237044
21,5.53731,1.21381,1.30816,0.90162,0.02,1,0.04135,0.01952,0.92815,3.39752,0.88775,0.0002416,0.0002416,0.0002416
22,5.69696,1.12515,1.11426,0.89833,0.02,1,0.04249,0.02,0.89522,3.36824,0.87828,0.000245364,0.000245364,0.000245364
23,5.8404,1.08157,1.04796,0.89155,0.02,1,0.04495,0.02169,0.89189,3.33331,0.87525,0.000248336,0.000248336,0.000248336
24,6.01213,1.1391,1.05125,0.86625,0.02,1,0.0458,0.0213,0.8895,3.29149,0.87452,0.000250516,0.000250516,0.000250516
